,word,categ,prime,corrAns,correct,rt,file,word_prime_merge
76,KUATIAHAIPYRE,1,noticia,right,1,1.367066500009969,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUATIAHAIPYRE_noticia
77,RELOJ,3,tiempo,right,1,1.3004818999907,000100_guarani3_2023-10-31_08h29.52.242.xlsx,RELOJ_tiempo
78,CEBRA,3,rayas,right,1,1.267055999996956,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CEBRA_rayas
79,KUÑAKARAI,1,mujer,right,1,1.250401400000555,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUÑAKARAI_mujer
80,OMOÑE'Ẽ,1,libro,right,0,2.783750900009181,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OMOÑE'Ẽ_libro
81,ENERGÍA,3,potencia,right,1,1.3504069000046,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ENERGÍA_potencia
82,CAMPO,3,estancia,right,1,1.300407100003213,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CAMPO_estancia
83,DAMA,3,mujer,right,1,1.55035420000786,000100_guarani3_2023-10-31_08h29.52.242.xlsx,DAMA_mujer
84,PE,1,este,right,1,1.467024700003094,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PE_este
85,MBUJAPE,1,tostada,right,1,2.733722400007537,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MBUJAPE_tostada
86,KUÑA,1,chica,right,1,1.450328899998567,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUÑA_chica
87,PARRILLA,3,asado,right,1,1.250504000010551,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PARRILLA_asado
88,ATÚN,3,pez,right,1,1.300358499996946,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ATÚN_pez
89,PÝRA,2,televisor,left,1,1.33371979999356,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PÝRA_televisor
90,SO'O,2,sonido,left,1,1.316972999993595,000100_guarani3_2023-10-31_08h29.52.242.xlsx,SO'O_sonido
91,KAGUY,1,tortuga,left,1,1.300367899995763,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KAGUY_tortuga
92,RYGUASU,2,mar,left,1,1.400470700013102,000100_guarani3_2023-10-31_08h29.52.242.xlsx,RYGUASU_mar
93,LAGO,3,panadería,left,1,1.233731300002546,000100_guarani3_2023-10-31_08h29.52.242.xlsx,LAGO_panadería
94,JUKYSY,2,sonido,left,1,1.267076400006772,000100_guarani3_2023-10-31_08h29.52.242.xlsx,JUKYSY_sonido
95,SELVA,3,espalda,left,1,1.467034400004195,000100_guarani3_2023-10-31_08h29.52.242.xlsx,SELVA_espalda
96,MANZANA,3,sandalia,left,1,1.250338099998771,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MANZANA_sandalia
97,AREKO,2,cocinar,left,0,2.000433499997598,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AREKO_cocinar
98,OVEJA,3,labial,left,1,1.500388300002669,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OVEJA_labial
99,PARQUE,3,anillo,left,1,1.267021699997713,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PARQUE_anillo
100,EIRATÃ,2,casa,left,1,1.283752699993784,000100_guarani3_2023-10-31_08h29.52.242.xlsx,EIRATÃ_casa
101,ÁGUILA,3,yerba,left,1,1.300145500004874,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ÁGUILA_yerba
102,REMERA,3,clavo,left,1,1.25039659999311,000100_guarani3_2023-10-31_08h29.52.242.xlsx,REMERA_clavo
103,HA'E,1,caballo,left,1,1.250365699990653,000100_guarani3_2023-10-31_08h29.52.242.xlsx,HA'E_caballo
104,TAPITI,2,tapa,left,1,1.283705900001223,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TAPITI_tapa
105,KA'I,2,carta,left,1,1.583705500001088,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KA'I_carta
106,MBARAKAJA,2,banana,left,1,1.350371499996982,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MBARAKAJA_banana
107,ANGUJA,2,firma,left,1,1.400421800004551,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ANGUJA_firma
108,NDE,1,cuchara,left,1,1.53371679999691,000100_guarani3_2023-10-31_08h29.52.242.xlsx,NDE_cuchara
109,AJOGUA,2,mano,left,1,1.750387299995054,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AJOGUA_mano
110,AMBOJY,2,cielo,left,1,1.450395899999421,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AMBOJY_cielo
111,CHE,1,hoja,left,1,1.533710200004862,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CHE_hoja
112,HIJO,3,rayo,left,1,1.833740000001853,000100_guarani3_2023-10-31_08h29.52.242.xlsx,HIJO_rayo
113,MYMBA,2,tablero,left,1,1.367052400004468,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MYMBA_tablero
114,CAMELLO,3,kiwi,left,1,1.333679499992286,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CAMELLO_kiwi
115,VAKAME,2,nave,left,1,1.400389000002178,000100_guarani3_2023-10-31_08h29.52.242.xlsx,VAKAME_nave
116,RÍO,3,barba,left,1,1.450408300006529,000100_guarani3_2023-10-31_08h29.52.242.xlsx,RÍO_barba
117,MERÕ,2,ala,left,1,1.283724599998095,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MERÕ_ala
118,Y,1,noche,left,1,1.400385299988557,000100_guarani3_2023-10-31_08h29.52.242.xlsx,Y_noche
119,YVYPÓRA,1,conejo,left,1,0.717054199994891,000100_guarani3_2023-10-31_08h29.52.242.xlsx,YVYPÓRA_conejo
120,OÑE'Ẽ,1,hormiga,left,1,1.233730000007199,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OÑE'Ẽ_hormiga
121,AGUYJE,1,azúcar,left,1,0.6837539999978617,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AGUYJE_azúcar
122,TÍO,3,ricota,left,1,1.400390000009793,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TÍO_ricota
123,ARANDUKA,1,balcón,left,1,1.367020999998203,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ARANDUKA_balcón
124,COCODRILO,3,codo,left,1,0.633699500001967,000100_guarani3_2023-10-31_08h29.52.242.xlsx,COCODRILO_codo
125,KURE,2,edificio,left,1,0.617071600005147,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KURE_edificio
126,VIDA,3,trapo,left,1,0.9670735000108834,000100_guarani3_2023-10-31_08h29.52.242.xlsx,VIDA_trapo
127,CACHORRO,3,cebolla,left,1,0.8170364999969024,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CACHORRO_cebolla
128,KUIMBA'E,1,noche,left,1,1.100436699998681,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUIMBA'E_noche
129,KARUMBE,2,arroz,left,1,1.450388199998997,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KARUMBE_arroz
130,KUATIAÑE'Ẽ,1,hierro,left,1,1.250463199990918,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUATIAÑE'Ẽ_hierro
131,MITÃKUÑA'I,1,gallo,left,1,0.9003827000124147,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MITÃKUÑA'I_gallo
132,OÑANI,2,ojo,left,1,1.200396700005513,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OÑANI_ojo
133,KO'Ẽ,1,vaso,left,1,0.8503595000074711,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KO'Ẽ_vaso
134,CABEZA,3,té,left,1,1.100348299994948,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CABEZA_té
135,RUPI'A,2,rubí,left,1,1.267207800003234,000100_guarani3_2023-10-31_08h29.52.242.xlsx,RUPI'A_rubí
136,KARAI,1,amanecer,left,0,0.71679989999393,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KARAI_amanecer
137,ÑATI'Ũ,2,hormigón,left,1,0.5670595999981742,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ÑATI'Ũ_hormigón
138,YPE,2,termo,left,1,1.300401800006512,000100_guarani3_2023-10-31_08h29.52.242.xlsx,YPE_termo
139,CIRUELA,3,ladrido,left,1,0.8837174999935087,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CIRUELA_ladrido
140,KAVAJU,2,tarde,left,1,1.233696300012525,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KAVAJU_tarde
141,AVATI,2,araña,left,1,0.5503884000063408,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AVATI_araña
142,TAHÝI,2,luna,left,1,1.050403100001859,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TAHÝI_luna
143,IPORÃ,1,aquel,left,1,1.133714800002053,000100_guarani3_2023-10-31_08h29.52.242.xlsx,IPORÃ_aquel
144,SERPIENTE,3,horno,left,1,1.100392799999099,000100_guarani3_2023-10-31_08h29.52.242.xlsx,SERPIENTE_horno
145,SALUD,3,vocal,left,1,0.8004137999960221,000100_guarani3_2023-10-31_08h29.52.242.xlsx,SALUD_vocal
146,JAGUA,2,fruta,left,1,1.250379799996153,000100_guarani3_2023-10-31_08h29.52.242.xlsx,JAGUA_fruta
147,MBOREROTOCHU,2,capa,left,1,1.150351999996928,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MBOREROTOCHU_capa
148,ASAJE,1,descanso,right,1,0.6503777999896556,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ASAJE_descanso
149,KA'ARU,1,día,right,1,0.5669826000084868,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KA'ARU_día
150,TEMBIPORU,2,cuchara,right,1,1.617073699992034,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TEMBIPORU_cuchara
151,AMO,1,ese,right,1,1.950371999992058,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AMO_ese
152,MBERU,2,zumbido,right,0,0.6337684000027366,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MBERU_zumbido
153,MITÃ,1,joven,right,1,0.5504450999869732,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MITÃ_joven
154,HE'Ẽ,2,sabor,right,0,0.4334367000119528,000100_guarani3_2023-10-31_08h29.52.242.xlsx,HE'Ẽ_sabor
155,TIGRE,3,león,right,0,0.5004079999926034,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TIGRE_león
156,YVA,1,manzana,right,1,0.6337193999934243,000100_guarani3_2023-10-31_08h29.52.242.xlsx,YVA_manzana
157,AVENA,3,cereal,right,1,0.5170329000102356,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AVENA_cereal
158,GUYRA,2,ave,right,1,1.367051299996092,000100_guarani3_2023-10-31_08h29.52.242.xlsx,GUYRA_ave
159,KUÑATAI,1,señorita,right,0,0.7834574000007706,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUÑATAI_señorita
160,JUKY,2,salado,right,1,1.267040399994585,000100_guarani3_2023-10-31_08h29.52.242.xlsx,JUKY_salado
161,IVAI,1,horrible,right,0,1.367062799996347,000100_guarani3_2023-10-31_08h29.52.242.xlsx,IVAI_horrible
162,HUMANO,3,persona,right,0,0.6337247000046773,000100_guarani3_2023-10-31_08h29.52.242.xlsx,HUMANO_persona
163,TRIGO,3,maíz,right,1,0.6837621000013314,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TRIGO_maíz
164,CARA,3,rostro,right,1,0.5503377999993972,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CARA_rostro
165,MANO,3,dedo,right,1,1.017063899998902,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MANO_dedo
166,FAMILIA,3,padres,right,1,0.4670375999994576,000100_guarani3_2023-10-31_08h29.52.242.xlsx,FAMILIA_padres
167,HO'U,1,tomar,right,0,1.133680099999765,000100_guarani3_2023-10-31_08h29.52.242.xlsx,HO'U_tomar
168,AMIGO,3,compañía,right,0,1.167074299999513,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AMIGO_compañía
169,KAMBY,1,vaca,right,1,1.167048400006024,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KAMBY_vaca
170,ÑANDU,2,bicho,right,1,0.8337269000039669,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ÑANDU_bicho
171,PYHAREVE,1,amanecer,right,1,0.783741099992767,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PYHAREVE_amanecer
172,PULPO,3,calamar,right,0,2.017047999994247,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PULPO_calamar
173,KARIA'Y,1,joven,right,1,1.433700800000224,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KARIA'Y_joven
174,ÓGA,1,hogar,right,1,0.6503545000014128,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ÓGA_hogar
175,BRAZO,3,codo,right,1,0.4337168999918504,000100_guarani3_2023-10-31_08h29.52.242.xlsx,BRAZO_codo
176,PETEĨ,1,uno,right,1,2.167058000006364,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PETEĨ_uno
177,PEẼ,1,nosotros,right,0,2.200365199998487,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PEẼ_nosotros
178,PIE,3,vidrio,left,1,1.350369799998589,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PIE_vidrio
179,PERA,3,luz,left,1,1.400356900005136,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PERA_luz
180,OVEVE,2,pan,left,1,0.7836782000085805,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OVEVE_pan
181,OHAI,1,melón,left,1,1.267144400000689,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OHAI_melón
182,YVY'A,2,caballo,left,1,1.283733999996912,000100_guarani3_2023-10-31_08h29.52.242.xlsx,YVY'A_caballo
183,PIRA,2,dama,left,1,1.533734900003765,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PIRA_dama
184,PYHARE,1,pelo,left,1,1.316794400001527,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PYHARE_pelo
185,MADRE,3,tecla,left,1,1.267057699995348,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MADRE_tecla
186,TEMBI'U,2,muchacho,left,1,1.367070100008277,000100_guarani3_2023-10-31_08h29.52.242.xlsx,TEMBI'U_muchacho
187,AVATI'I,2,aguja,left,1,1.35035720000451,000100_guarani3_2023-10-31_08h29.52.242.xlsx,AVATI'I_aguja
188,CHEAÑYRÕ,1,mañana,left,1,1.267071299997042,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CHEAÑYRÕ_mañana
189,CUERPO,3,ventana,left,1,1.217036699992605,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CUERPO_ventana
190,POLLO,3,cielo,left,1,1.283707700000377,000100_guarani3_2023-10-31_08h29.52.242.xlsx,POLLO_cielo
191,SEVÓI,2,señal,left,1,1.33371310000075,000100_guarani3_2023-10-31_08h29.52.242.xlsx,SEVÓI_señal
192,PAKOVA,2,pala,left,1,1.267026999994414,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PAKOVA_pala
193,MITÃ'I,1,salado,left,1,1.533462899998995,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MITÃ'I_salado
194,KUATIAHAIPYRE,1,manguera,left,1,1.450377000001026,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUATIAHAIPYRE_manguera
195,RELOJ,3,arbusto,left,1,1.05036839999957,000100_guarani3_2023-10-31_08h29.52.242.xlsx,RELOJ_arbusto
196,OÑARÕ,2,pescado,left,1,1.2670599000121,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OÑARÕ_pescado
197,CEBRA,3,pastas,left,1,1.083726199998637,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CEBRA_pastas
198,KUÑAKARAI,1,zanahoria,left,1,1.317075700004352,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUÑAKARAI_zanahoria
199,OMOÑE'Ẽ,1,araña,left,1,1.317022300005192,000100_guarani3_2023-10-31_08h29.52.242.xlsx,OMOÑE'Ẽ_araña
200,ENERGÍA,3,ojo,left,1,1.283795799987274,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ENERGÍA_ojo
201,CAMPO,3,vidrio,left,1,1.016806200001156,000100_guarani3_2023-10-31_08h29.52.242.xlsx,CAMPO_vidrio
202,DAMA,3,lago,left,1,1.400379700004123,000100_guarani3_2023-10-31_08h29.52.242.xlsx,DAMA_lago
203,PE,1,mano,left,1,1.383722699989448,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PE_mano
204,MBUJAPE,1,reja,left,1,1.233740199997555,000100_guarani3_2023-10-31_08h29.52.242.xlsx,MBUJAPE_reja
205,KUÑA,1,farol,left,1,1.283724299995811,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KUÑA_farol
206,PARRILLA,3,zócalo,left,1,1.150402200000826,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PARRILLA_zócalo
207,ATÚN,3,pelota,left,1,1.350403300006292,000100_guarani3_2023-10-31_08h29.52.242.xlsx,ATÚN_pelota
208,PÝRA,2,cocido,right,1,1.183694399995147,000100_guarani3_2023-10-31_08h29.52.242.xlsx,PÝRA_cocido
209,SO'O,2,bife,right,1,1.300339800000074,000100_guarani3_2023-10-31_08h29.52.242.xlsx,SO'O_bife
210,KAGUY,1,vino,right,1,1.333715499989921,000100_guarani3_2023-10-31_08h29.52.242.xlsx,KAGUY_vino
211,RYGUASU,2,carne,right,0,1.650393700008863,000100_guarani3_2023-10-31_08h29.52.242.xlsx,RYGUASU_carne
212,LAGO,3,laguna,right,1,1.100366800004849,000100_guarani3_2023-10-31_08h29.52.242.xlsx,LAGO_laguna
213,JUKYSY,2,caldo,right,1,1.300366299998132,000100_guarani3_2023-10-31_08h29.52.242.xlsx,JUKYSY_caldo
